,Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year,Unit,Value,Flag,Flag Description,Note
0,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1950,1000 No,25109.2,X,Figure from international organizations,nan
1,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1950,1000 No,12408.031,X,Figure from international organizations,nan
2,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1950,1000 No,12701.169,X,Figure from international organizations,nan
3,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1950,1000 No,21921.843,X,Figure from international organizations,nan
4,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1950,1000 No,2888.063,X,Figure from international organizations,nan
5,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1951,1000 No,25627.533,X,Figure from international organizations,nan
6,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1951,1000 No,12640.675,X,Figure from international organizations,nan
7,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1951,1000 No,12986.858,X,Figure from international organizations,nan
8,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1951,1000 No,22341.053,X,Figure from international organizations,nan
9,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1951,1000 No,3023.4,X,Figure from international organizations,nan
10,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1952,1000 No,26189.593,X,Figure from international organizations,nan
11,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1952,1000 No,12895.406,X,Figure from international organizations,nan
12,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1952,1000 No,13294.186,X,Figure from international organizations,nan
13,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1952,1000 No,22806.351,X,Figure from international organizations,nan
14,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1952,1000 No,3170.487,X,Figure from international organizations,nan
15,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1953,1000 No,26820.851,X,Figure from international organizations,nan
16,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1953,1000 No,13185.537,X,Figure from international organizations,nan
