Domain Code,Area Code,Indicator Code,Sex Code,Sex,Year,Element Code,Element,Source Code,Unit,Value,Flag,Note
OEA,237,21144,1,Total,1991,6199,Value,3043,1000 No,24059.27,X,nan
OEA,237,21144,1,Total,1992,6199,Value,3043,1000 No,24384.94,X,nan
OEA,237,21144,1,Total,1993,6199,Value,3043,1000 No,24641.43,X,nan
OEA,237,21144,1,Total,1994,6199,Value,3043,1000 No,24875.18,X,nan
OEA,237,21144,1,Total,1995,6199,Value,3043,1000 No,25101.97,X,nan
OEA,237,21144,1,Total,1996,6199,Value,3043,1000 No,25322.22,X,Adjusted
OEA,237,21144,1,Total,1997,6199,Value,3043,1000 No,23587.08,X,Adjusted
OEA,237,21144,1,Total,1998,6199,Value,3043,1000 No,24013.31,X,Adjusted
OEA,237,21144,1,Total,1999,6199,Value,3043,1000 No,24672.94,X,Adjusted
OEA,237,21144,1,Total,2000,6199,Value,3043,1000 No,25000.73,X,Adjusted
OEA,237,21144,1,Total,2001,6199,Value,3043,1000 No,25203.55,X,Adjusted
OEA,237,21144,1,Total,2002,6199,Value,3043,1000 No,24974.21,X,Adjusted
OEA,237,21144,1,Total,2003,6199,Value,3043,1000 No,24338.59,X,Adjusted
OEA,237,21144,1,Total,2004,6199,Value,3043,1000 No,23937.84,X,Adjusted
OEA,237,21144,1,Total,2005,6199,Value,3043,1000 No,23467.51,X,nan
OEA,237,21144,1,Total,2006,6199,Value,3043,1000 No,22870.77,X,Adjusted
OEA,237,21144,1,Total,2007,6199,Value,3043,1000 No,22543.18,X,Adjusted
OEA,237,21144,1,Total,2008,6199,Value,3043,1000 No,22861.29,X,nan
OEA,237,21144,1,Total,2009,6199,Value,3043,1000 No,23065.92,X,Adjusted
OEA,237,21144,1,Total,2010,6199,Value,3043,1000 No,24280.68,X,Adjusted
OEA,237,21144,1,Total,2011,6199,Value,3043,1000 No,24505.54,X,Adjusted
OEA,237,21144,1,Total,2012,6199,Value,3043,1000 No,24320.91,X,Adjusted
OEA,237,21144,1,Total,2013,6199,Value,3043,1000 No,24534.72,X,Adjusted
OEA,237,21144,1,Total,2014,6199,Value,3043,1000 No,24597.02,X,Adjusted
OEA,237,21144,1,Total,2015,6199,Value,3043,1000 No,23547.92,X,Adjusted
OEA,237,21144,1,Total,2016,6199,Value,3043,1000 No,22467.43,X,Adjusted
OEA,237,21144,1,Total,2017,6199,Value,3043,1000 No,21672.13,X,Adjusted
OEA,237,21144,1,Total,2018,6199,Value,3043,1000 No,20599.35,X,Adjusted
OEA,237,21144,1,Total,2019,6199,Value,3043,1000 No,19217.62,X,nan
OEA,237,21144,1,Total,2020,6199,Value,3043,1000 No,17480.94,X,Adjusted
OEA,237,21144,1,Total,2021,6199,Value,3043,1000 No,15604.1,X,Adjusted
OEA,237,21144,2,Male,1991,6199,Value,3043,1000 No,11695.29,X,Adjusted
OEA,237,21144,2,Male,1992,6199,Value,3043,1000 No,11903.21,X,Adjusted
OEA,237,21144,2,Male,1993,6199,Value,3043,1000 No,12072.67,X,Adjusted
OEA,237,21144,2,Male,1994,6199,Value,3043,1000 No,12233.84,X,Adjusted
OEA,237,21144,2,Male,1995,6199,Value,3043,1000 No,12392.65,X,Adjusted
OEA,237,21144,2,Male,1996,6199,Value,3043,1000 No,12542.5,X,Adjusted
OEA,237,21144,2,Male,1997,6199,Value,3043,1000 No,11686.52,X,Adjusted
OEA,237,21144,2,Male,1998,6199,Value,3043,1000 No,11906.41,X,Adjusted
OEA,237,21144,2,Male,1999,6199,Value,3043,1000 No,12279.77,X,Adjusted
OEA,237,21144,2,Male,2000,6199,Value,3043,1000 No,12409.02,X,Adjusted
OEA,237,21144,2,Male,2001,6199,Value,3043,1000 No,12600.94,X,Adjusted
OEA,237,21144,2,Male,2002,6199,Value,3043,1000 No,12443.19,X,Adjusted
OEA,237,21144,2,Male,2003,6199,Value,3043,1000 No,11985.09,X,Adjusted
OEA,237,21144,2,Male,2004,6199,Value,3043,1000 No,11823.8,X,Adjusted
OEA,237,21144,2,Male,2005,6199,Value,3043,1000 No,11552.59,X,Adjusted
OEA,237,21144,2,Male,2006,6199,Value,3043,1000 No,11223.76,X,Adjusted
OEA,237,21144,2,Male,2007,6199,Value,3043,1000 No,11011.53,X,Adjusted
OEA,237,21144,2,Male,2008,6199,Value,3043,1000 No,11162.92,X,Adjusted
OEA,237,21144,2,Male,2009,6199,Value,3043,1000 No,11261.91,X,Adjusted
OEA,237,21144,2,Male,2010,6199,Value,3043,1000 No,11925.15,X,Adjusted
OEA,237,21144,2,Male,2011,6199,Value,3043,1000 No,12003.96,X,Adjusted
OEA,237,21144,2,Male,2012,6199,Value,3043,1000 No,11975.79,X,Adjusted
OEA,237,21144,2,Male,2013,6199,Value,3043,1000 No,12090.89,X,Adjusted
OEA,237,21144,2,Male,2014,6199,Value,3043,1000 No,12162.51,X,Adjusted
OEA,237,21144,2,Male,2015,6199,Value,3043,1000 No,11771.02,X,Adjusted
OEA,237,21144,2,Male,2016,6199,Value,3043,1000 No,11153.06,X,Adjusted
OEA,237,21144,2,Male,2017,6199,Value,3043,1000 No,10830.14,X,Adjusted
OEA,237,21144,2,Male,2018,6199,Value,3043,1000 No,10425.37,X,Adjusted
OEA,237,21144,2,Male,2019,6199,Value,3043,1000 No,9648.03,X,Adjusted
OEA,237,21144,2,Male,2020,6199,Value,3043,1000 No,8859.4,X,Adjusted
OEA,237,21144,2,Male,2021,6199,Value,3043,1000 No,8152.81,X,Adjusted
OEA,237,21144,3,Female,1991,6199,Value,3043,1000 No,12368.9,X,Adjusted
OEA,237,21144,3,Female,1992,6199,Value,3043,1000 No,12486.15,X,Adjusted
OEA,237,21144,3,Female,1993,6199,Value,3043,1000 No,12572.63,X,Adjusted
OEA,237,21144,3,Female,1994,6199,Value,3043,1000 No,12644.7,X,Adjusted
OEA,237,21144,3,Female,1995,6199,Value,3043,1000 No,12712.27,X,Adjusted
OEA,237,21144,3,Female,1996,6199,Value,3043,1000 No,12782.45,X,Adjusted
OEA,237,21144,3,Female,1997,6199,Value,3043,1000 No,11905.0,X,Adjusted
OEA,237,21144,3,Female,1998,6199,Value,3043,1000 No,12111.86,X,Adjusted
OEA,237,21144,3,Female,1999,6199,Value,3043,1000 No,12396.02,X,Adjusted
OEA,237,21144,3,Female,2000,6199,Value,3043,1000 No,12597.71,X,Adjusted
OEA,237,21144,3,Female,2001,6199,Value,3043,1000 No,12608.04,X,Adjusted
OEA,237,21144,3,Female,2002,6199,Value,3043,1000 No,12536.83,X,Adjusted
OEA,237,21144,3,Female,2003,6199,Value,3043,1000 No,12363.73,X,Adjusted
OEA,237,21144,3,Female,2004,6199,Value,3043,1000 No,12124.17,X,Adjusted
OEA,237,21144,3,Female,2005,6199,Value,3043,1000 No,11925.23,X,Adjusted
OEA,237,21144,3,Female,2006,6199,Value,3043,1000 No,11657.41,X,Adjusted
OEA,237,21144,3,Female,2007,6199,Value,3043,1000 No,11542.75,X,Adjusted
OEA,237,21144,3,Female,2008,6199,Value,3043,1000 No,11710.7,X,Adjusted
OEA,237,21144,3,Female,2009,6199,Value,3043,1000 No,11817.62,X,Adjusted
OEA,237,21144,3,Female,2010,6199,Value,3043,1000 No,12370.09,X,Adjusted
OEA,237,21144,3,Female,2011,6199,Value,3043,1000 No,12517.5,X,Adjusted
OEA,237,21144,3,Female,2012,6199,Value,3043,1000 No,12358.43,X,Adjusted
OEA,237,21144,3,Female,2013,6199,Value,3043,1000 No,12456.47,X,Adjusted
OEA,237,21144,3,Female,2014,6199,Value,3043,1000 No,12446.2,X,Adjusted
OEA,237,21144,3,Female,2015,6199,Value,3043,1000 No,11786.25,X,Adjusted
OEA,237,21144,3,Female,2016,6199,Value,3043,1000 No,11325.08,X,Adjusted
OEA,237,21144,3,Female,2017,6199,Value,3043,1000 No,10850.68,X,Adjusted
OEA,237,21144,3,Female,2018,6199,Value,3043,1000 No,10180.71,X,Adjusted
OEA,237,21144,3,Female,2019,6199,Value,3043,1000 No,9577.95,X,Adjusted
OEA,237,21144,3,Female,2020,6199,Value,3043,1000 No,8625.89,X,Adjusted
