Domain Code,Area,Indicator Code,Sex Code,Sex,Year,Element Code,Element,Source Code,Unit,Value,Flag,Note
OER,Viet Nam,21087,1,Total,2007,6199,Value,3023,1000 No,34098.44,X,Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,1,Total,2009,6199,Value,3023,1000 No,34615.17,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,1,Total,2010,6199,Value,3023,1000 No,35839.5,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,1,Total,2011,6199,Value,3023,1000 No,35951.09,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,1,Total,2012,6199,Value,3023,1000 No,36010.41,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,1,Total,2013,6199,Value,3023,1000 No,36699.1,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,1,Total,2014,6199,Value,3023,1000 No,36743.81,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,1,Total,2015,6199,Value,3023,1000 No,36464.95,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,1,Total,2016,6199,Value,3023,1000 No,36379.15,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,1,Total,2017,6199,Value,3023,1000 No,36586.67,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,1,Total,2018,6199,Value,3023,1000 No,36711.68,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,1,Total,2019,6199,Value,3023,1000 No,36619.14,X,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
OER,Viet Nam,21087,1,Total,2020,6199,Value,3023,1000 No,35871.61,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,1,Total,2021,6199,Value,3023,1000 No,35230.99,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,2,Male,2007,6199,Value,3023,1000 No,17142.59,X,Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,2,Male,2009,6199,Value,3023,1000 No,17677.0,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,2,Male,2010,6199,Value,3023,1000 No,18355.33,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,2,Male,2011,6199,Value,3023,1000 No,18510.98,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,2,Male,2012,6199,Value,3023,1000 No,18537.53,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,2,Male,2013,6199,Value,3023,1000 No,18827.97,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,2,Male,2014,6199,Value,3023,1000 No,18792.86,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,2,Male,2015,6199,Value,3023,1000 No,18779.95,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,2,Male,2016,6199,Value,3023,1000 No,18698.42,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,2,Male,2017,6199,Value,3023,1000 No,18992.15,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,2,Male,2018,6199,Value,3023,1000 No,19182.77,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,2,Male,2019,6199,Value,3023,1000 No,19145.27,X,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
OER,Viet Nam,21087,2,Male,2020,6199,Value,3023,1000 No,19038.71,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,2,Male,2021,6199,Value,3023,1000 No,18411.05,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,3,Female,2007,6199,Value,3023,1000 No,16955.85,X,Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,3,Female,2009,6199,Value,3023,1000 No,16938.17,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,3,Female,2010,6199,Value,3023,1000 No,17484.17,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,3,Female,2011,6199,Value,3023,1000 No,17440.11,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,3,Female,2012,6199,Value,3023,1000 No,17472.88,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,3,Female,2013,6199,Value,3023,1000 No,17871.13,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,3,Female,2014,6199,Value,3023,1000 No,17950.96,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,3,Female,2015,6199,Value,3023,1000 No,17685.0,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,3,Female,2016,6199,Value,3023,1000 No,17680.73,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,3,Female,2017,6199,Value,3023,1000 No,17594.52,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,3,Female,2018,6199,Value,3023,1000 No,17528.92,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,3,Female,2019,6199,Value,3023,1000 No,17473.87,X,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
OER,Viet Nam,21087,3,Female,2020,6199,Value,3023,1000 No,16832.9,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21087,3,Female,2021,6199,Value,3023,1000 No,16819.94,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,1,Total,2007,6199,Value,3023,1000 No,6516.04,X,Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,1,Total,2009,6199,Value,3023,1000 No,6764.93,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,1,Total,2010,6199,Value,3023,1000 No,6876.3,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,1,Total,2011,6199,Value,3023,1000 No,6220.1,X,Repository: ILO-STATISTICS - Micro data processing
OER,Viet Nam,21094,1,Total,2012,6199,Value,3023,1000 No,5663.24,X,Repository: ILO-STATISTICS - Micro data processing
