Domain Code,Area Code,Element Code,Element,Item Code,Year,Unit,Value,Flag
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1961,1000 Int. $,1521,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1962,1000 Int. $,1521,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1963,1000 Int. $,1521,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1964,1000 Int. $,1848,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1965,1000 Int. $,1891,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1966,1000 Int. $,1956,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1967,1000 Int. $,1087,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1968,1000 Int. $,1087,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1969,1000 Int. $,1304,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1970,1000 Int. $,978,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1971,1000 Int. $,2174,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1972,1000 Int. $,1739,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1973,1000 Int. $,1087,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1974,1000 Int. $,1195,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1975,1000 Int. $,1087,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1976,1000 Int. $,978,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1977,1000 Int. $,696,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1978,1000 Int. $,652,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1979,1000 Int. $,717,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1980,1000 Int. $,761,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1981,1000 Int. $,804,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1982,1000 Int. $,869,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1983,1000 Int. $,978,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1984,1000 Int. $,1022,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1985,1000 Int. $,1087,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1986,1000 Int. $,2174,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1987,1000 Int. $,2934,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1988,1000 Int. $,2174,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1989,1000 Int. $,2608,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1990,1000 Int. $,2174,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1991,1000 Int. $,2257,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1992,1000 Int. $,2608,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1993,1000 Int. $,2826,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1994,1000 Int. $,2174,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1995,1000 Int. $,2608,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1996,1000 Int. $,4347,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1997,1000 Int. $,4782,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1998,1000 Int. $,6521,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,1999,1000 Int. $,6525,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,2000,1000 Int. $,6955,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,2001,1000 Int. $,6904,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,2002,1000 Int. $,7052,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,2003,1000 Int. $,7173,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,2004,1000 Int. $,7382,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,2005,1000 Int. $,7550,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,2006,1000 Int. $,7815,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,2007,1000 Int. $,8014,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,2008,1000 Int. $,8204,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,2009,1000 Int. $,8390,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,2010,1000 Int. $,8573,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,2011,1000 Int. $,8755,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,2012,1000 Int. $,8912,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,2013,1000 Int. $,9129,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,2014,1000 Int. $,9271,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,2015,1000 Int. $,9499,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,2016,1000 Int. $,9688,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,2017,1000 Int. $,17259,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,2018,1000 Int. $,24075,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,2019,1000 Int. $,32604,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,2020,1000 Int. $,32604,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),711,2021,1000 Int. $,36153,E
QV,237,56,Gross Production Value (current thousand SLC),711,2017,1000 SLC,372863999,E
QV,237,56,Gross Production Value (current thousand SLC),711,2018,1000 SLC,533412088,E
QV,237,56,Gross Production Value (current thousand SLC),711,2019,1000 SLC,799874362,E
QV,237,56,Gross Production Value (current thousand SLC),711,2020,1000 SLC,967549519,E
QV,237,56,Gross Production Value (current thousand SLC),711,2021,1000 SLC,1099430496,E
QV,237,57,Gross Production Value (current thousand US$),711,2017,1000 USD,16668,E
QV,237,57,Gross Production Value (current thousand US$),711,2018,1000 USD,23600,E
QV,237,57,Gross Production Value (current thousand US$),711,2019,1000 USD,34701,E
QV,237,57,Gross Production Value (current thousand US$),711,2020,1000 USD,41690,E
QV,237,57,Gross Production Value (current thousand US$),711,2021,1000 USD,47472,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),572,2018,1000 Int. $,71131,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),572,2019,1000 Int. $,100951,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),572,2020,1000 Int. $,145132,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),572,2021,1000 Int. $,194536,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1961,1000 Int. $,128014,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1962,1000 Int. $,128725,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1963,1000 Int. $,136904,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1964,1000 Int. $,142238,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1965,1000 Int. $,145794,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1966,1000 Int. $,147572,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1967,1000 Int. $,152906,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1968,1000 Int. $,160018,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1969,1000 Int. $,163574,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1970,1000 Int. $,165352,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1971,1000 Int. $,167130,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1972,1000 Int. $,168908,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1973,1000 Int. $,169974,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1974,1000 Int. $,177797,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1975,1000 Int. $,170685,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1976,1000 Int. $,195577,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1977,1000 Int. $,213357,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1978,1000 Int. $,238248,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1979,1000 Int. $,274377,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1980,1000 Int. $,318151,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1981,1000 Int. $,320035,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1982,1000 Int. $,337815,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1983,1000 Int. $,320035,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1984,1000 Int. $,355595,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1985,1000 Int. $,384042,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1986,1000 Int. $,435284,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1987,1000 Int. $,408934,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1988,1000 Int. $,432048,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1989,1000 Int. $,436375,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1990,1000 Int. $,434323,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1991,1000 Int. $,457402,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1992,1000 Int. $,485566,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1993,1000 Int. $,497029,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1994,1000 Int. $,488972,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1995,1000 Int. $,455955,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1996,1000 Int. $,468923,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1997,1000 Int. $,467998,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1998,1000 Int. $,467675,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,1999,1000 Int. $,458148,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,2000,1000 Int. $,399973,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,2001,1000 Int. $,400222,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,2002,1000 Int. $,390087,E
QV,237,152,Gross Production Value (constant 2014-2016 thousand I$),486,2003,1000 Int. $,455801,E
