Domain Code,Area Code,Element Code,Element,Item Code,Year,Unit,Value,Flag,Note
QCL,237,5312,Area harvested,711,1961,ha,1000.0,E,nan
QCL,237,5419,Yield,711,1961,100 g/ha,7000.0,E,nan
QCL,237,5510,Production,711,1961,t,700.0,E,nan
QCL,237,5312,Area harvested,711,1962,ha,1000.0,E,nan
QCL,237,5419,Yield,711,1962,100 g/ha,7000.0,E,nan
QCL,237,5510,Production,711,1962,t,700.0,E,nan
QCL,237,5312,Area harvested,711,1963,ha,1000.0,E,nan
QCL,237,5419,Yield,711,1963,100 g/ha,7000.0,E,nan
QCL,237,5510,Production,711,1963,t,700.0,E,nan
QCL,237,5312,Area harvested,711,1964,ha,1000.0,E,nan
QCL,237,5419,Yield,711,1964,100 g/ha,8500.0,E,nan
QCL,237,5510,Production,711,1964,t,850.0,E,nan
QCL,237,5312,Area harvested,711,1965,ha,1000.0,E,nan
QCL,237,5419,Yield,711,1965,100 g/ha,8700.0,E,nan
QCL,237,5510,Production,711,1965,t,870.0,E,nan
QCL,237,5312,Area harvested,711,1966,ha,1000.0,E,nan
QCL,237,5419,Yield,711,1966,100 g/ha,9000.0,E,nan
QCL,237,5510,Production,711,1966,t,900.0,E,nan
QCL,237,5312,Area harvested,711,1967,ha,1000.0,E,nan
QCL,237,5419,Yield,711,1967,100 g/ha,5000.0,E,nan
QCL,237,5510,Production,711,1967,t,500.0,E,nan
QCL,237,5312,Area harvested,711,1968,ha,1000.0,E,nan
QCL,237,5419,Yield,711,1968,100 g/ha,5000.0,E,nan
QCL,237,5510,Production,711,1968,t,500.0,E,nan
QCL,237,5312,Area harvested,711,1969,ha,1000.0,E,nan
QCL,237,5419,Yield,711,1969,100 g/ha,6000.0,E,nan
QCL,237,5510,Production,711,1969,t,600.0,E,nan
QCL,237,5312,Area harvested,711,1970,ha,1000.0,E,nan
QCL,237,5419,Yield,711,1970,100 g/ha,4500.0,E,nan
QCL,237,5510,Production,711,1970,t,450.0,E,nan
QCL,237,5312,Area harvested,711,1971,ha,1000.0,E,nan
QCL,237,5419,Yield,711,1971,100 g/ha,10000.0,E,nan
QCL,237,5510,Production,711,1971,t,1000.0,E,nan
QCL,237,5312,Area harvested,711,1972,ha,1000.0,E,nan
QCL,237,5419,Yield,711,1972,100 g/ha,8000.0,E,nan
QCL,237,5510,Production,711,1972,t,800.0,E,nan
QCL,237,5312,Area harvested,711,1973,ha,700.0,E,nan
QCL,237,5419,Yield,711,1973,100 g/ha,7143.0,E,nan
QCL,237,5510,Production,711,1973,t,500.0,E,nan
QCL,237,5312,Area harvested,711,1974,ha,700.0,E,nan
QCL,237,5419,Yield,711,1974,100 g/ha,7857.0,E,nan
QCL,237,5510,Production,711,1974,t,550.0,E,nan
QCL,237,5312,Area harvested,711,1975,ha,700.0,E,nan
QCL,237,5419,Yield,711,1975,100 g/ha,7143.0,E,nan
QCL,237,5510,Production,711,1975,t,500.0,E,nan
QCL,237,5312,Area harvested,711,1976,ha,700.0,E,nan
QCL,237,5419,Yield,711,1976,100 g/ha,6429.0,E,nan
QCL,237,5510,Production,711,1976,t,450.0,E,nan
QCL,237,5312,Area harvested,711,1977,ha,500.0,E,nan
QCL,237,5419,Yield,711,1977,100 g/ha,6400.0,E,nan
QCL,237,5510,Production,711,1977,t,320.0,E,nan
QCL,237,5312,Area harvested,711,1978,ha,500.0,E,nan
QCL,237,5419,Yield,711,1978,100 g/ha,6000.0,E,nan
QCL,237,5510,Production,711,1978,t,300.0,E,nan
QCL,237,5312,Area harvested,711,1979,ha,500.0,E,nan
QCL,237,5419,Yield,711,1979,100 g/ha,6600.0,E,nan
QCL,237,5510,Production,711,1979,t,330.0,E,nan
QCL,237,5312,Area harvested,711,1980,ha,500.0,E,nan
QCL,237,5419,Yield,711,1980,100 g/ha,7000.0,E,nan
QCL,237,5510,Production,711,1980,t,350.0,E,nan
QCL,237,5312,Area harvested,711,1981,ha,500.0,E,nan
QCL,237,5419,Yield,711,1981,100 g/ha,7400.0,E,nan
QCL,237,5510,Production,711,1981,t,370.0,E,nan
QCL,237,5312,Area harvested,711,1982,ha,700.0,E,nan
QCL,237,5419,Yield,711,1982,100 g/ha,5714.0,E,nan
QCL,237,5510,Production,711,1982,t,400.0,E,nan
QCL,237,5312,Area harvested,711,1983,ha,700.0,E,nan
QCL,237,5419,Yield,711,1983,100 g/ha,6429.0,E,nan
QCL,237,5510,Production,711,1983,t,450.0,E,nan
QCL,237,5312,Area harvested,711,1984,ha,700.0,E,nan
QCL,237,5419,Yield,711,1984,100 g/ha,6714.0,E,nan
QCL,237,5510,Production,711,1984,t,470.0,E,nan
QCL,237,5312,Area harvested,711,1985,ha,700.0,E,nan
QCL,237,5419,Yield,711,1985,100 g/ha,7143.0,E,nan
QCL,237,5510,Production,711,1985,t,500.0,E,nan
QCL,237,5312,Area harvested,711,1986,ha,1600.0,E,nan
QCL,237,5419,Yield,711,1986,100 g/ha,6250.0,E,nan
QCL,237,5510,Production,711,1986,t,1000.0,E,nan
QCL,237,5312,Area harvested,711,1987,ha,1600.0,E,nan
QCL,237,5419,Yield,711,1987,100 g/ha,8438.0,E,nan
QCL,237,5510,Production,711,1987,t,1350.0,E,nan
QCL,237,5312,Area harvested,711,1988,ha,1300.0,E,nan
QCL,237,5419,Yield,711,1988,100 g/ha,7692.0,E,nan
QCL,237,5510,Production,711,1988,t,1000.0,E,nan
QCL,237,5312,Area harvested,711,1989,ha,1500.0,E,nan
QCL,237,5419,Yield,711,1989,100 g/ha,8000.0,E,nan
QCL,237,5510,Production,711,1989,t,1200.0,E,nan
QCL,237,5312,Area harvested,711,1990,ha,1300.0,E,nan
QCL,237,5419,Yield,711,1990,100 g/ha,7692.0,E,nan
QCL,237,5510,Production,711,1990,t,1000.0,E,nan
QCL,237,5312,Area harvested,711,1991,ha,1316.0,I,nan
QCL,237,5419,Yield,711,1991,100 g/ha,7890.0,E,nan
QCL,237,5510,Production,711,1991,t,1038.54,I,nan
QCL,237,5312,Area harvested,711,1992,ha,1500.0,E,nan
QCL,237,5419,Yield,711,1992,100 g/ha,8000.0,E,nan
QCL,237,5510,Production,711,1992,t,1200.0,E,nan
QCL,237,5312,Area harvested,711,1993,ha,1600.0,E,nan
QCL,237,5419,Yield,711,1993,100 g/ha,8125.0,E,nan
QCL,237,5510,Production,711,1993,t,1300.0,E,nan
QCL,237,5312,Area harvested,711,1994,ha,1300.0,E,nan
QCL,237,5419,Yield,711,1994,100 g/ha,7692.0,E,nan
QCL,237,5510,Production,711,1994,t,1000.0,E,nan
QCL,237,5312,Area harvested,711,1995,ha,1500.0,E,nan
