Domain Code,Domain,Area Code,Area,Item Code,Item,Year,Area harvested (ha),Yield (100 g/ha),Production (t)
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1961,1000.0,7000.0,700.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1962,1000.0,7000.0,700.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1963,1000.0,7000.0,700.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1964,1000.0,8500.0,850.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1965,1000.0,8700.0,870.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1966,1000.0,9000.0,900.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1967,1000.0,5000.0,500.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1968,1000.0,5000.0,500.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1969,1000.0,6000.0,600.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1970,1000.0,4500.0,450.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1971,1000.0,10000.0,1000.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1972,1000.0,8000.0,800.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1973,700.0,7143.0,500.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1974,700.0,7857.0,550.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1975,700.0,7143.0,500.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1976,700.0,6429.0,450.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1977,500.0,6400.0,320.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1978,500.0,6000.0,300.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1979,500.0,6600.0,330.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1980,500.0,7000.0,350.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1981,500.0,7400.0,370.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1982,700.0,5714.0,400.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1983,700.0,6429.0,450.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1984,700.0,6714.0,470.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1985,700.0,7143.0,500.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1986,1600.0,6250.0,1000.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1987,1600.0,8438.0,1350.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1988,1300.0,7692.0,1000.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1989,1500.0,8000.0,1200.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1990,1300.0,7692.0,1000.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1991,1316.0,7890.0,1038.54
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1992,1500.0,8000.0,1200.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1993,1600.0,8125.0,1300.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1994,1300.0,7692.0,1000.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1995,1500.0,8000.0,1200.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1996,2500.0,8000.0,2000.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1997,2900.0,7586.0,2200.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1998,4000.0,7500.0,3000.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1999,3990.0,7524.0,3001.99
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2000,4300.0,7442.0,3200.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2001,4275.0,7430.0,3176.35
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2002,4383.0,7403.0,3244.44
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2003,4400.0,7500.0,3300.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2004,4643.0,7315.0,3396.46
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2005,4796.0,7243.0,3473.41
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2006,5049.0,7121.0,3595.58
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2007,5249.0,7025.0,3687.11
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2008,5445.0,6932.0,3774.38
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2009,5644.0,6839.0,3859.82
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2010,5843.0,6751.0,3944.15
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2011,6040.0,6669.0,4027.94
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2012,6500.0,6308.0,4100.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2013,6500.0,6462.0,4200.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2014,6589.0,6473.0,4265.25
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2015,6796.0,6430.0,4370.04
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2016,6628.0,6724.0,4457.06
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2017,12038.0,6596.0,7940.54
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2018,16895.0,6556.0,11076.08
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2019,22700.0,6608.0,15000.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2020,22700.0,6608.0,15000.0
QCL,Crops and livestock products,237,Viet Nam,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2021,25817.0,6443.0,16632.82
QCL,Crops and livestock products,237,Viet Nam,572,Avocados,2018,15796.0,49300.0,77874.0
QCL,Crops and livestock products,237,Viet Nam,572,Avocados,2019,10018.0,110321.0,110520.0
QCL,Crops and livestock products,237,Viet Nam,572,Avocados,2020,12927.0,122913.0,158889.0
QCL,Crops and livestock products,237,Viet Nam,572,Avocados,2021,16538.0,128780.0,212977.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1961,36300.0,99174.0,360000.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1962,37000.0,97838.0,362000.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1963,39000.0,98718.0,385000.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1964,40000.0,100000.0,400000.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1965,40000.0,102500.0,410000.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1966,39000.0,106410.0,415000.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1967,39000.0,110256.0,430000.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1968,39000.0,115385.0,450000.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1969,40000.0,115000.0,460000.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1970,41000.0,113415.0,465000.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1971,42000.0,111905.0,470000.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1972,46000.0,103261.0,475000.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1973,48000.0,99583.0,478000.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1974,53000.0,94340.0,500000.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1975,50000.0,96000.0,480000.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1976,54000.0,101852.0,550000.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1977,56000.0,107143.0,600000.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1978,58000.0,115517.0,670000.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1979,58400.0,132123.0,771600.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1980,67200.0,133140.0,894700.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1981,73000.0,123288.0,900000.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1982,74000.0,128378.0,950000.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1983,76000.0,118421.0,900000.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1984,78000.0,128205.0,1000000.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1985,80000.0,135000.0,1080000.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1986,80000.0,153013.0,1224100.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1987,80000.0,143750.0,1150000.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1988,83000.0,146386.0,1215000.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1989,84594.0,145066.0,1227170.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1990,88279.0,138357.0,1221400.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1991,89173.0,144248.0,1286300.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1992,90051.0,151637.0,1365504.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1993,94213.0,148359.0,1397739.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1994,91484.0,150308.0,1375081.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1995,91750.0,139753.0,1282231.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1996,95900.0,137508.0,1318700.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1997,92400.0,142435.0,1316100.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1998,89300.0,147278.0,1315190.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,1999,95200.0,135336.0,1288400.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,2000,98500.0,114193.0,1124800.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,2001,100000.0,112550.0,1125500.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,2002,95900.0,114390.0,1097000.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,2003,88900.0,144184.0,1281800.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,2004,92500.0,143719.0,1329400.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,2005,93900.0,143152.0,1344200.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,2006,94000.0,143617.0,1350000.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,2007,95000.0,142632.0,1355000.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,2008,95000.0,147368.0,1400000.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,2009,99522.0,151742.0,1510168.65
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,2010,103488.0,156369.0,1618231.44
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,2011,106452.0,163682.0,1742424.4
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,2012,108549.0,165081.0,1791937.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,2013,112434.0,168324.0,1892523.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,2014,114437.0,162329.0,1857641.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,2015,118092.0,164561.0,1943337.2
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,2016,120041.0,161773.0,1941935.0
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,2017,125456.0,163033.0,2045351.78
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,2018,128508.0,162424.0,2087274.64
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,2019,133638.0,164193.0,2194247.09
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,2020,136569.0,166034.0,2267520.24
QCL,Crops and livestock products,237,Viet Nam,486,Bananas,2021,138348.0,169636.0,2346877.71
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1961,72855.0,3569.0,26000.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1962,75752.0,3696.0,28000.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1963,77970.0,3078.0,24000.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1964,79510.0,3396.0,27000.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1965,81300.0,3567.0,29000.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1966,80050.0,3623.0,29000.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1967,90560.0,3865.0,35000.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1968,81405.0,3440.0,28000.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1969,73000.0,3699.0,27000.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1970,70000.0,3714.0,26000.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1971,69000.0,4058.0,28000.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1972,70000.0,4143.0,29000.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1973,65000.0,3846.0,25000.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1974,65000.0,4154.0,27000.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1975,53800.0,3885.0,20900.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1976,69900.0,4635.0,32400.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1977,85800.0,4510.0,38700.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1978,91300.0,4797.0,43800.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1979,85900.0,4307.0,37000.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1980,51100.0,10861.0,55500.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1981,126000.0,5000.0,63000.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1982,136000.0,5441.0,74000.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1983,140000.0,5257.0,73600.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1984,150000.0,5613.0,84200.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1985,145000.0,5634.0,81700.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1986,161000.0,5901.0,95000.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1987,160000.0,6013.0,96200.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1988,160000.0,5938.0,95000.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1989,160000.0,6381.0,102100.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1990,165000.0,5709.0,94200.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1991,156700.0,5999.0,94000.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1992,165600.0,5598.0,92700.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1993,182100.0,5794.0,105500.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1994,190400.0,6392.0,121700.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1995,187500.0,6811.0,127700.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1996,206200.0,6489.0,133800.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1997,218600.0,6898.0,150800.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1998,221500.0,6506.0,144100.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",1999,200700.0,7180.0,144100.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",2000,209400.0,6905.0,144600.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",2001,205000.0,7815.0,160200.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",2002,201900.0,7137.0,144100.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",2003,205000.0,7610.0,156000.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",2004,201100.0,8304.0,167000.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",2005,188000.0,8426.0,158400.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",2006,186700.0,9191.0,171600.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",2007,205100.0,8581.0,176000.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",2008,197500.0,9463.0,186900.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",2009,187200.0,9541.0,178600.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",2010,190100.0,9815.0,186590.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",2011,189281.0,9954.0,188416.17
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",2012,175243.0,9966.0,174640.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",2013,164802.0,10254.0,168982.39
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",2014,157832.0,10393.0,164040.0
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",2015,161582.0,10578.0,170921.4
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",2016,145099.0,10299.0,149439.25
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",2017,149702.0,10877.0,162831.51
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",2018,143492.0,12477.0,179038.87
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",2019,136845.0,12302.0,168348.32
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",2020,132784.0,12155.0,161399.41
QCL,Crops and livestock products,237,Viet Nam,176,"Beans, dry",2021,125912.0,12117.0,152572.01
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1961,1200.0,250000.0,30000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1962,1300.0,246154.0,32000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1963,1400.0,228571.0,32000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1964,1500.0,233333.0,35000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1965,1600.0,250000.0,40000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1966,1700.0,247059.0,42000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1967,1750.0,245714.0,43000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1968,1800.0,250000.0,45000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1969,1850.0,254054.0,47000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1970,1900.0,252632.0,48000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1971,1950.0,251282.0,49000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1972,2000.0,250000.0,50000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1973,2050.0,248780.0,51000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1974,2100.0,247619.0,52000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1975,2150.0,246512.0,53000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1976,2200.0,250000.0,55000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1977,2300.0,247826.0,57000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1978,2500.0,240000.0,60000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1979,2700.0,233333.0,63000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1980,2800.0,232143.0,65000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1981,3000.0,223333.0,67000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1982,3200.0,215625.0,69000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1983,3400.0,208824.0,71000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1984,3500.0,214286.0,75000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1985,3700.0,216216.0,80000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1986,4000.0,225000.0,90000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1987,4000.0,215000.0,86000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1988,4000.0,225000.0,90000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1989,4000.0,232500.0,93000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1990,5500.0,172727.0,95000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1991,5800.0,172414.0,100000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1992,7500.0,186667.0,140000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1993,9000.0,177778.0,160000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1994,11000.0,172727.0,190000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1995,12500.0,188000.0,235000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1996,15000.0,183333.0,275000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1997,18000.0,177778.0,320000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1998,19000.0,178947.0,340000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,1999,21000.0,176190.0,370000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,2000,22500.0,177778.0,400000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,2001,23465.0,193433.0,453891.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,2002,27068.0,184419.0,499185.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,2003,34804.0,174183.0,606226.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,2004,36000.0,180556.0,650000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,2005,40000.0,175000.0,700000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,2006,38778.0,185048.0,717585.25
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,2007,39374.0,189395.0,745718.22
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,2008,37894.0,204553.0,775123.76
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,2009,36925.0,216653.0,800000.0
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,2010,35537.0,227364.0,807991.08
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,2011,33102.0,241022.0,797840.06
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,2012,34527.0,247183.0,853451.9
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,2013,35316.0,244255.0,862597.75
QCL,Crops and livestock products,237,Viet Nam,358,Cabbages,2014,36020.0,251723.0,906705.0
