Domain Code,Domain,Area Code,Area,Indicator Code,Indicator,Sex Code,Sex,Year Code,Year,Element Code,Element,Source Code,Source,Unit,Value,Flag,Flag Description,Note
OER,Employment Indicators: Rural,237,Viet Nam,21087,"Employment by age, total (15+), rural areas",1,Total,2007,2007,6199,Value,3023,Labour force survey,1000 No,34098.44,X,Figure from international organizations,Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing
OER,Employment Indicators: Rural,237,Viet Nam,21087,"Employment by age, total (15+), rural areas",1,Total,2009,2009,6199,Value,3023,Labour force survey,1000 No,34615.17,X,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
OER,Employment Indicators: Rural,237,Viet Nam,21087,"Employment by age, total (15+), rural areas",1,Total,2010,2010,6199,Value,3023,Labour force survey,1000 No,35839.5,X,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
OER,Employment Indicators: Rural,237,Viet Nam,21087,"Employment by age, total (15+), rural areas",1,Total,2011,2011,6199,Value,3023,Labour force survey,1000 No,35951.09,X,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
OER,Employment Indicators: Rural,237,Viet Nam,21087,"Employment by age, total (15+), rural areas",1,Total,2012,2012,6199,Value,3023,Labour force survey,1000 No,36010.41,X,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
OER,Employment Indicators: Rural,237,Viet Nam,21087,"Employment by age, total (15+), rural areas",1,Total,2013,2013,6199,Value,3023,Labour force survey,1000 No,36699.1,X,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
OER,Employment Indicators: Rural,237,Viet Nam,21087,"Employment by age, total (15+), rural areas",1,Total,2014,2014,6199,Value,3023,Labour force survey,1000 No,36743.81,X,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
OER,Employment Indicators: Rural,237,Viet Nam,21087,"Employment by age, total (15+), rural areas",1,Total,2015,2015,6199,Value,3023,Labour force survey,1000 No,36464.95,X,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
OER,Employment Indicators: Rural,237,Viet Nam,21087,"Employment by age, total (15+), rural areas",1,Total,2016,2016,6199,Value,3023,Labour force survey,1000 No,36379.15,X,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
OER,Employment Indicators: Rural,237,Viet Nam,21087,"Employment by age, total (15+), rural areas",1,Total,2017,2017,6199,Value,3023,Labour force survey,1000 No,36586.67,X,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
OER,Employment Indicators: Rural,237,Viet Nam,21087,"Employment by age, total (15+), rural areas",1,Total,2018,2018,6199,Value,3023,Labour force survey,1000 No,36711.68,X,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
OER,Employment Indicators: Rural,237,Viet Nam,21087,"Employment by age, total (15+), rural areas",1,Total,2019,2019,6199,Value,3023,Labour force survey,1000 No,36619.14,X,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
OER,Employment Indicators: Rural,237,Viet Nam,21087,"Employment by age, total (15+), rural areas",1,Total,2020,2020,6199,Value,3023,Labour force survey,1000 No,35871.61,X,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
OER,Employment Indicators: Rural,237,Viet Nam,21087,"Employment by age, total (15+), rural areas",1,Total,2021,2021,6199,Value,3023,Labour force survey,1000 No,35230.99,X,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
OER,Employment Indicators: Rural,237,Viet Nam,21087,"Employment by age, total (15+), rural areas",2,Male,2007,2007,6199,Value,3023,Labour force survey,1000 No,17142.59,X,Figure from international organizations,Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing
OER,Employment Indicators: Rural,237,Viet Nam,21087,"Employment by age, total (15+), rural areas",2,Male,2009,2009,6199,Value,3023,Labour force survey,1000 No,17677,X,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
OER,Employment Indicators: Rural,237,Viet Nam,21087,"Employment by age, total (15+), rural areas",2,Male,2010,2010,6199,Value,3023,Labour force survey,1000 No,18355.33,X,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
OER,Employment Indicators: Rural,237,Viet Nam,21087,"Employment by age, total (15+), rural areas",2,Male,2011,2011,6199,Value,3023,Labour force survey,1000 No,18510.98,X,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
OER,Employment Indicators: Rural,237,Viet Nam,21087,"Employment by age, total (15+), rural areas",2,Male,2012,2012,6199,Value,3023,Labour force survey,1000 No,18537.53,X,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
OER,Employment Indicators: Rural,237,Viet Nam,21087,"Employment by age, total (15+), rural areas",2,Male,2013,2013,6199,Value,3023,Labour force survey,1000 No,18827.97,X,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
OER,Employment Indicators: Rural,237,Viet Nam,21087,"Employment by age, total (15+), rural areas",2,Male,2014,2014,6199,Value,3023,Labour force survey,1000 No,18792.86,X,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
OER,Employment Indicators: Rural,237,Viet Nam,21087,"Employment by age, total (15+), rural areas",2,Male,2015,2015,6199,Value,3023,Labour force survey,1000 No,18779.95,X,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
