,ma_huyen,nam_quan_ly,tong_ds,tong_dien_tich,grdp_bq_theo_gia_hh,pn_15_49,tuoi_tho_bq
001-2019,001,2019,221641,,,56613,
002-2019,002,2019,135074,,,33778,
003-2019,003,2019,160106,,,41126,
004-2019,004,2019,321975,,,84135,
005-2019,005,2019,283589,,,88898,
006-2019,006,2019,359823,,,99858,
007-2019,007,2019,295272,,,75745,
008-2019,008,2019,502228,,,138502,
009-2019,009,2019,289573,,,82551,
016-2019,016,2019,341705,,,86175,
017-2019,017,2019,405065,,,106969,
018-2019,018,2019,281971,,,74039,
019-2019,019,2019,256798,,,74487,
020-2019,020,2019,275350,,,72734,
021-2019,021,2019,328329,,,98160,
024-2019,024,2019,54534,,,14437,
026-2019,026,2019,81396,,,18852,
027-2019,027,2019,85618,,,19512,
028-2019,028,2019,97035,,,22838,
029-2019,029,2019,53228,,,12831,
030-2019,030,2019,109996,,,27818,
031-2019,031,2019,54279,,,13543,
032-2019,032,2019,66480,,,16413,
033-2019,033,2019,67535,,,16677,
034-2019,034,2019,118056,,,29743,
035-2019,035,2019,61229,,,15415,
040-2019,040,2019,72601,,,17692,
042-2019,042,2019,64744,,,16065,
043-2019,043,2019,54159,,,14018,
045-2019,045,2019,33916,,,7902,
047-2019,047,2019,48731,,,11499,
048-2019,048,2019,25195,,,6112,
049-2019,049,2019,37833,,,8802,
051-2019,051,2019,52536,,,11745,
052-2019,052,2019,39405,,,9989,
053-2019,053,2019,29588,,,6747,
058-2019,058,2019,44140,,,11213,
060-2019,060,2019,33195,,,8425,
061-2019,061,2019,48036,,,11438,
062-2019,062,2019,28995,,,7027,
063-2019,063,2019,31061,,,7122,
064-2019,064,2019,49281,,,11412,
065-2019,065,2019,38698,,,9287,
066-2019,066,2019,37985,,,8888,
070-2019,070,2019,103818,,,24490,
071-2019,071,2019,30858,,,7329,
072-2019,072,2019,42909,,,10381,
073-2019,073,2019,126717,,,29613,
074-2019,074,2019,121058,,,29558,
075-2019,075,2019,173009,,,41967,
076-2019,076,2019,183022,,,43623,
080-2019,080,2019,126501,,,33432,
082-2019,082,2019,82019,,,20876,
083-2019,083,2019,63208,,,15353,
084-2019,084,2019,37013,,,9100,
085-2019,085,2019,64778,,,15949,
086-2019,086,2019,111190,,,27429,
