,ma_tinh,nam_quan_ly,tong_ds,tong_dien_tich,grdp_bq_theo_gia_hh,pn_15_49,tuoi_tho_bq
TOÀN QUỐC-2016,TOÀN QUỐC,2016,93250704,331230.79999999999,60.479999999999997,23902335,73.4
TOÀN QUỐC-2017,TOÀN QUỐC,2017,94285951,331230.79999999999,66.75,23661004,73.5
TOÀN QUỐC-2018,TOÀN QUỐC,2018,95385184,331235.70000000001,73.480000000000004,23526791,73.5
TOÀN QUỐC-2020,TOÀN QUỐC,2020,97582694,33134.400000000001,82.439999999999998,24934000,73.7
TOÀN QUỐC-2021,TOÀN QUỐC,2021,98506193,33134.599999999999,86.079999999999998,25251635,73.6
01-2019,01,2019,8093891,3358.5999999999999,120.31999999999999,2120927,75.5
02-2019,02,2019,858091,7929.5,28.190000000000001,209283,67.9
04-2019,04,2019,530856,6700.3000000000002,32.890000000000001,128191,70.6
06-2019,06,2019,314378,4860.0,38.210000000000001,75245,72.6
08-2019,08,2019,786258,5867.8999999999996,39.579999999999998,187953,72.2
10-2019,10,2019,733337,6364.0,68.109999999999999,184478,69.2
11-2019,11,2019,601659,9541.2999999999993,32.140000000000001,149817,67.8
12-2019,12,2019,462629,9068.7999999999993,38.859999999999999,115542,65.8
14-2019,14,2019,1252700,14123.5,39.68,317411,70.9
15-2019,15,2019,823034,6887.5,37.090000000000003,200565,69.7
17-2019,17,2019,855804,4590.6000000000004,54.609999999999999,208504,72.7
19-2019,19,2019,1290945,3526.5999999999999,90.890000000000001,340844,73.6
20-2019,20,2019,782811,8310.1000000000004,41.899999999999999,188567,72.3
22-2019,22,2019,1324842,6178.1999999999998,143.31,324614,73.5
24-2019,24,2019,1810421,3895.5999999999999,57.719999999999999,451289,73.4
25-2019,25,2019,1466399,3534.5999999999999,47.07,347397,73.5
26-2019,26,2019,1154836,1235.9000000000001,102.47,280059,74.3
27-2019,27,2019,1378592,822.70000000000005,144.99000000000001,380458,74.3
30-2019,30,2019,1896911,1668.2,66.780000000000001,447558,74.8
31-2019,31,2019,2033300,1561.8,122.17,486337,74.7
33-2019,33,2019,1255839,930.20000000000005,73.709999999999994,297251,74.6
34-2019,34,2019,1862184,1586.4000000000001,45.219999999999999,422469,75.4
35-2019,35,2019,854469,861.89999999999998,64.030000000000001,195987,74.7
36-2019,36,2019,1780865,1668.5999999999999,39.039999999999999,394814,74.5
37-2019,37,2019,984527,1386.8,62.770000000000003,225676,73.8
38-2019,38,2019,3645796,11114.6,48.329999999999998,861523,73.3
40-2019,40,2019,3337207,16481.400000000001,39.850000000000001,808811,72.9
42-2019,42,2019,1290263,5990.6999999999998,60.539999999999999,284784,72.8
44-2019,44,2019,896601,8000.0,43.75,216920,72.1
45-2019,45,2019,633440,4621.6999999999998,50.340000000000003,146702,68.3
46-2019,46,2019,1129505,4902.3999999999996,46.810000000000002,284367,71.8
48-2019,48,2019,1141125,1284.9000000000001,97.439999999999998,321250,76.1
49-2019,49,2019,1497479,10574.700000000001,66.049999999999997,357783,72.9
51-2019,51,2019,1231893,5155.8000000000002,70.530000000000001,296464,72.5
52-2019,52,2019,1487817,6066.1999999999998,55.670000000000002,365610,73.5
54-2019,54,2019,873164,5023.3999999999996,48.630000000000003,218217,73.5
56-2019,56,2019,1232823,5137.8000000000002,70.359999999999999,326069,73.9
58-2019,58,2019,591032,3355.3000000000002,52.700000000000003,151236,73.0
60-2019,60,2019,1232267,7943.8999999999996,64.239999999999995,319359,74.5
62-2019,62,2019,543400,9674.2000000000007,40.329999999999998,138542,66.7
64-2019,64,2019,1520155,15511.0,40.25,392661,69.9
66-2019,66,2019,1872574,13030.5,41.670000000000002,480952,70.6
67-2019,67,2019,625822,6509.3000000000002,45.469999999999999,158209,70.0
68-2019,68,2019,1299335,9783.2999999999993,60.5,335035,73.0
70-2019,70,2019,997766,6876.8000000000002,62.609999999999999,262676,73.9
72-2019,72,2019,1171683,4041.3000000000002,70.590000000000003,312135,74.8
74-2019,74,2019,2456319,2694.5999999999999,147.38,809428,74.7
75-2019,75,2019,3113713,5863.6000000000004,110.68000000000001,873213,76.7
77-2019,77,2019,1152218,1981.0,300.38,306629,76.4
79-2019,79,2019,9038566,2061.4000000000001,148.66,2803419,76.6
80-2019,80,2019,1695100,4494.8999999999996,72.799999999999997,449801,75.8
82-2019,82,2019,1766289,2510.5999999999999,54.57,447347,76.0
83-2019,83,2019,1289098,2394.8000000000002,40.310000000000002,312977,75.7
84-2019,84,2019,1009322,2358.3000000000002,58.850000000000001,251206,74.6
86-2019,86,2019,1022619,1525.7,52.939999999999998,249653,75.5
87-2019,87,2019,1598754,3383.8000000000002,51.469999999999999,402183,74.7
89-2019,89,2019,1907401,3536.6999999999998,44.490000000000002,471750,73.7
91-2019,91,2019,1723695,6348.8000000000002,55.170000000000002,454065,74.5
92-2019,92,2019,1235954,1439.0,72.659999999999997,339534,75.9
93-2019,93,2019,732162,1621.7,48.640000000000001,181429,75.5
94-2019,94,2019,1199528,3311.9000000000001,44.5,292046,74.2
95-2019,95,2019,908241,2669.0,45.950000000000003,246646,74.6
96-2019,96,2019,1194281,5221.1999999999998,50.670000000000002,308398,75.0
TOÀN QUỐC-2019,TOÀN QUỐC,2019,96483981,331236.0,79.879999999999995,24920265,73.6
01-2016,01,2016,7590766,3358.9000000000001,96.290000000000006,1868833,75.3
01-2017,01,2017,7742188,3358.5999999999999,104.14,1816610,75.4
01-2018,01,2018,7914485,3358.5999999999999,111.59999999999999,1807126,75.4
01-2020,01,2020,8246540,336.0,123.37,2083102,75.5
01-2021,01,2021,8330834,336.0,128.75,2179495,75.7
02-2016,02,2016,820427,7929.1999999999998,21.940000000000001,202416,67.5
02-2017,02,2017,833692,7929.5,23.960000000000001,204647,67.7
02-2018,02,2018,846531,7929.5,26.07,205841,67.7
02-2020,02,2020,870240,792.79999999999995,29.800000000000001,218574,68.4
02-2021,02,2021,887086,792.79999999999995,30.760000000000002,215828,68.8
04-2016,04,2016,524235,6700.1999999999998,25.109999999999999,135435,70.3
04-2017,04,2017,526418,6700.3000000000002,27.539999999999999,131933,70.4
04-2018,04,2018,528656,6700.3000000000002,30.629999999999999,132323,70.5
04-2020,04,2020,533085,670.0,35.810000000000002,131018,70.6
04-2021,04,2021,542217,670.0,36.890000000000001,129042,71.4
06-2016,06,2016,307675,4860.0,29.809999999999999,82957,72.4
06-2017,06,2017,309883,4860.0,32.409999999999997,81465,72.4
06-2018,06,2018,312000,4860.0,35.380000000000003,80848,72.5
06-2020,06,2020,316463,486.0,41.060000000000002,77457,72.6
06-2021,06,2021,323712,486.0,42.609999999999999,76300,72.6
08-2016,08,2016,763377,5867.8999999999996,30.170000000000002,194085,72.0
08-2017,08,2017,770504,5867.8999999999996,33.009999999999998,189324,72.1
08-2018,08,2018,778300,5867.8999999999996,36.189999999999998,184434,72.1
08-2020,08,2020,792900,586.79999999999995,43.520000000000003,194422,72.3
08-2021,08,2021,801668,586.79999999999995,46.079999999999998,190009,72.2
10-2016,10,2016,696453,6364.0,50.460000000000001,177617,68.8
10-2017,10,2017,708571,6364.0,56.0,175683,69.0
10-2018,10,2018,720829,6364.0,62.170000000000002,177867,69.0
10-2020,10,2020,746355,636.39999999999998,71.980000000000004,189876,69.3
10-2021,10,2021,761890,636.39999999999998,76.269999999999996,196327,70.0
11-2016,11,2016,568267,9540.8999999999996,26.039999999999999,141303,67.5
11-2017,11,2017,579387,9541.2999999999993,28.300000000000001,141656,67.6
11-2018,11,2018,590518,9541.2000000000007,30.649999999999999,142561,67.7
11-2020,11,2020,613480,954.0,33.090000000000003,156758,68.4
11-2021,11,2021,625089,954.0,35.409999999999997,160570,68.4
12-2016,12,2016,436321,9069.5,32.520000000000003,110292,65.4
12-2017,12,2017,444506,9068.7999999999993,38.240000000000002,109957,65.6
12-2018,12,2018,453383,9068.7999999999993,40.5,112233,65.7
12-2020,12,2020,469811,906.89999999999998,43.329999999999998,120303,66.7
12-2021,12,2021,478430,906.89999999999998,44.32,126625,67.9
14-2016,14,2016,1194937,14123.5,33.420000000000002,311617,70.6
14-2017,14,2017,1213400,14123.5,37.229999999999997,317716,70.7
14-2018,14,2018,1233074,14123.5,40.369999999999997,317102,70.8
14-2020,14,2020,1270556,1411.0,43.32,332758,71.0
14-2021,14,2021,1287718,1411.0,44.329999999999998,331870,70.9
15-2016,15,2016,800321,6887.6000000000004,28.16,200204,69.4
15-2017,15,2017,807287,6887.6999999999998,30.870000000000001,199706,69.5
15-2018,15,2018,814579,6887.6999999999998,33.869999999999997,198115,69.5
15-2020,15,2020,831586,689.29999999999995,39.869999999999997,205628,69.6
15-2021,15,2021,842671,689.29999999999995,42.420000000000002,209443,69.7
17-2016,17,2016,836963,4590.6999999999998,44.149999999999999,212741,72.4
17-2017,17,2017,845000,4590.6000000000004,48.840000000000003,209906,72.5
17-2018,17,2018,850413,4590.6000000000004,54.420000000000002,209972,72.6
17-2020,17,2020,861216,459.0,57.719999999999999,210523,72.6
17-2021,17,2021,871724,459.0,58.770000000000003,211676,72.7
19-2016,19,2016,1242824,3526.6999999999998,67.329999999999998,313751,73.4
19-2017,19,2017,1256124,3526.5999999999999,76.760000000000005,318274,73.5
19-2018,19,2018,1273558,3526.5999999999999,84.75,304848,73.5
19-2020,19,2020,1307871,352.19999999999999,94.329999999999998,327996,73.7
19-2021,19,2021,1323150,352.19999999999999,101.0,330189,73.7
20-2016,20,2016,763396,8310.2000000000007,31.920000000000002,200817,72.1
20-2017,20,2017,768698,8310.1000000000004,34.280000000000001,195508,72.2
20-2018,20,2018,775866,8310.1000000000004,38.25,194966,72.2
20-2020,20,2020,788706,831.0,44.229999999999997,193228,72.4
20-2021,20,2021,796939,831.0,46.990000000000002,196355,72.5
22-2016,22,2016,1261240,6177.6999999999998,100.88,306554,73.3
22-2017,22,2017,1285209,6177.8000000000002,111.31999999999999,299953,73.4
22-2018,22,2018,1303912,6178.1999999999998,126.81,305643,73.4
22-2020,22,2020,1337605,620.79999999999995,155.59999999999999,329295,73.4
22-2021,22,2021,1350851,620.79999999999995,169.94,329023,73.5
24-2016,24,2016,1696903,3895.5,39.409999999999997,415613,73.2
24-2017,24,2017,1736787,3895.5,43.75,415639,73.3
24-2018,24,2018,1777506,3895.5999999999999,50.850000000000001,427313,73.3
24-2020,24,2020,1841624,389.60000000000002,65.640000000000001,460107,73.5
24-2021,24,2021,1875238,389.60000000000002,69.290000000000006,470703,73.4
25-2016,25,2016,1409008,3534.4000000000001,35.100000000000001,332456,73.3
25-2017,25,2017,1430475,3534.5999999999999,37.859999999999999,329750,73.4
25-2018,25,2018,1449585,3534.5999999999999,42.530000000000001,325468,73.4
25-2020,25,2020,1481884,353.5,50.740000000000002,351743,73.4
25-2021,25,2021,1507539,353.5,53.700000000000003,345340,73.5
26-2016,26,2016,1106141,1235.3,77.989999999999995,263582,74.1
26-2017,26,2017,1123140,1235.2,84.879999999999995,264950,74.2
26-2018,26,2018,1138370,1235.2,94.540000000000006,259123,74.2
26-2020,26,2020,1171232,123.59999999999999,105.88,285289,74.0
26-2021,26,2021,1191782,123.59999999999999,115.28,295450,74.4
27-2016,27,2016,1257844,822.79999999999995,109.05,291871,74.1
27-2017,27,2017,1297762,822.70000000000005,129.83000000000001,299921,74.2
27-2018,27,2018,1337345,822.70000000000005,144.94999999999999,304595,74.3
