,ma_xa,nam_quan_ly,tong_ds,tong_dien_tich,grdp_bq_theo_gia_hh,pn_15_49,tuoi_tho_bq
00001-2019,00001,2019,21942,,,5537,
00004-2019,00004,2019,7044,,,1602,
00006-2019,00006,2019,23742,,,6163,
00007-2019,00007,2019,15979,,,4088,
00008-2019,00008,2019,21084,,,5448,
00010-2019,00010,2019,7694,,,1854,
00013-2019,00013,2019,7883,,,1742,
00016-2019,00016,2019,19353,,,4965,
00019-2019,00019,2019,8911,,,2098,
00022-2019,00022,2019,14365,,,3529,
00025-2019,00025,2019,20363,,,5359,
00028-2019,00028,2019,14223,,,3696,
00031-2019,00031,2019,17665,,,4701,
00034-2019,00034,2019,21393,,,5831,
00037-2019,00037,2019,16856,,,4428,
00040-2019,00040,2019,9394,,,2442,
00043-2019,00043,2019,6967,,,1662,
00046-2019,00046,2019,5367,,,1223,
00049-2019,00049,2019,5390,,,1341,
00052-2019,00052,2019,5242,,,1273,
00055-2019,00055,2019,6169,,,1488,
00058-2019,00058,2019,5148,,,1257,
00061-2019,00061,2019,5194,,,1338,
00064-2019,00064,2019,5787,,,1402,
00067-2019,00067,2019,22946,,,6012,
00070-2019,00070,2019,5331,,,1263,
00073-2019,00073,2019,6314,,,1476,
00076-2019,00076,2019,6974,,,1767,
00079-2019,00079,2019,4640,,,1197,
00082-2019,00082,2019,7029,,,1735,
00085-2019,00085,2019,4842,,,1165,
00088-2019,00088,2019,5484,,,1309,
00091-2019,00091,2019,26064,,,6787,
00094-2019,00094,2019,15592,,,4137,
00097-2019,00097,2019,18354,,,4674,
00100-2019,00100,2019,10280,,,2511,
00103-2019,00103,2019,27174,,,7620,
00106-2019,00106,2019,23278,,,5711,
00109-2019,00109,2019,24768,,,6074,
00112-2019,00112,2019,14596,,,3612,
00115-2019,00115,2019,28926,,,7560,
00118-2019,00118,2019,39341,,,10185,
00121-2019,00121,2019,24296,,,6444,
00124-2019,00124,2019,27694,,,7127,
00127-2019,00127,2019,22373,,,5852,
00130-2019,00130,2019,15074,,,3978,
00133-2019,00133,2019,23917,,,6069,
00136-2019,00136,2019,19013,,,4901,
00139-2019,00139,2019,31381,,,8231,
00142-2019,00142,2019,17500,,,4425,
00145-2019,00145,2019,22015,,,5879,
00148-2019,00148,2019,26406,,,7233,
00151-2019,00151,2019,14205,,,3740,
00154-2019,00154,2019,9834,,,2511,
00157-2019,00157,2019,34634,,,9285,
00160-2019,00160,2019,21240,,,5728,
00163-2019,00163,2019,38028,,,13797,
00166-2019,00166,2019,28222,,,8509,
00167-2019,00167,2019,26606,,,8664,
00169-2019,00169,2019,34651,,,12061,
00172-2019,00172,2019,46764,,,13881,
00175-2019,00175,2019,53444,,,16973,
00178-2019,00178,2019,11176,,,2790,
00181-2019,00181,2019,9538,,,2336,
00184-2019,00184,2019,8087,,,2123,
00187-2019,00187,2019,37345,,,14331,
00190-2019,00190,2019,33178,,,8680,
00193-2019,00193,2019,16607,,,4274,
00196-2019,00196,2019,18334,,,4697,
00199-2019,00199,2019,28609,,,7986,
00202-2019,00202,2019,9589,,,2287,
00205-2019,00205,2019,17395,,,4466,
00208-2019,00208,2019,14716,,,3823,
00211-2019,00211,2019,16604,,,4343,
00214-2019,00214,2019,12002,,,3371,
00217-2019,00217,2019,23933,,,6579,
00220-2019,00220,2019,17012,,,4341,
00223-2019,00223,2019,18195,,,5045,
00226-2019,00226,2019,10255,,,2674,
00229-2019,00229,2019,14092,,,3731,
00232-2019,00232,2019,19934,,,5274,
00235-2019,00235,2019,7653,,,2076,
00238-2019,00238,2019,15569,,,4631,
00241-2019,00241,2019,5972,,,1414,
00244-2019,00244,2019,19795,,,5077,
00247-2019,00247,2019,6809,,,1661,
00256-2019,00256,2019,8457,,,2018,
00259-2019,00259,2019,8115,,,1976,
00262-2019,00262,2019,8949,,,2166,
00265-2019,00265,2019,8647,,,2135,
00268-2019,00268,2019,24790,,,6324,
00271-2019,00271,2019,21165,,,5354,
00274-2019,00274,2019,11791,,,3003,
00277-2019,00277,2019,9707,,,2419,
00280-2019,00280,2019,16595,,,4498,
00283-2019,00283,2019,51642,,,14082,
00286-2019,00286,2019,16241,,,4102,
00289-2019,00289,2019,11946,,,3056,
00292-2019,00292,2019,14786,,,3734,
00295-2019,00295,2019,19784,,,5152,
00298-2019,00298,2019,21258,,,5627,
00301-2019,00301,2019,25108,,,6644,
00304-2019,00304,2019,38648,,,10936,
00307-2019,00307,2019,48663,,,13304,
00310-2019,00310,2019,48959,,,13977,
00313-2019,00313,2019,28344,,,7521,
00316-2019,00316,2019,48500,,,13830,
00319-2019,00319,2019,24518,,,6340,
00322-2019,00322,2019,39485,,,11083,
00325-2019,00325,2019,16624,,,4475,
00328-2019,00328,2019,30891,,,8222,
00331-2019,00331,2019,40278,,,10869,
00334-2019,00334,2019,14143,,,3706,
00337-2019,00337,2019,74792,,,21339,
00340-2019,00340,2019,23275,,,6256,
00343-2019,00343,2019,49646,,,14692,
00346-2019,00346,2019,29021,,,8301,
00349-2019,00349,2019,35683,,,10242,
00352-2019,00352,2019,21885,,,5725,
00355-2019,00355,2019,31370,,,9072,
00358-2019,00358,2019,24444,,,6673,
00361-2019,00361,2019,18108,,,5211,
00364-2019,00364,2019,35286,,,10159,
00367-2019,00367,2019,18924,,,5153,
00370-2019,00370,2019,12062,,,3775,
00373-2019,00373,2019,13144,,,3548,
00376-2019,00376,2019,4849,,,1172,
00379-2019,00379,2019,17015,,,4300,
00382-2019,00382,2019,14725,,,3799,
00385-2019,00385,2019,12556,,,3160,
00388-2019,00388,2019,9422,,,2382,
00391-2019,00391,2019,14720,,,3750,
00394-2019,00394,2019,11447,,,2973,
